Ranks,Name,Party,Total Mentions,Neu Mentions,Pos Mentions,Neg Mentions,Neu Mentions %,Pos Mentions %,Neg Mentions %,Pos - Neg %
1,Kerry,Democrat,6,2,3,1,33.33,50.0,16.67,33.33
2,Bush,Republican,56,30,14,12,53.57,25.0,21.43,3.57
3,Trump,Republican,148,79,33,36,53.38,22.3,24.32,-2.02
4,Obama,Democrat,124,58,30,36,46.77,24.19,29.03,-4.84
5,McCain,Republican,37,23,5,9,62.16,13.51,24.32,-10.81
6,Biden,Democrat,31,19,3,9,61.29,9.68,29.03,-19.35
7,Hillary Clinton,Democrat,19,11,2,6,57.89,10.53,31.58,-21.05
8,Clinton,Democrat,78,39,10,29,50.0,12.82,37.18,-24.36
9,Romney,Republican,14,6,2,6,42.86,14.29,42.86,-28.57
10,Bill Clinton,Democrat,30,13,1,16,43.33,3.33,53.33,-50.0
